terminology,code,description,phenotype,subphenotype


icd10,Y602,During kidney dialysis or other perfusion​,renal_replacement_therapy,dialysis


icd10,Y612,During kidney dialysis or other perfusion​,renal_replacement_therapy,dialysis


icd10,Y622,During kidney dialysis or other perfusion​,renal_replacement_therapy,dialysis


icd10,Y841,Kidney dialysis,renal_replacement_therapy,dialysis


icd10,Z992,Dependence on renal dialysis,renal_replacement_therapy,dialysis


icd10,Z491,Extracorporeal dialysis​,renal_replacement_therapy,dialysis


icd10,Z492,Other dialysis​,renal_replacement_therapy,dialysis


icd10,N186,Patients with CKD requiring dialysis​,renal_replacement_therapy,dialysis


snomed,16320631000119104,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease (finding),renal_replacement_therapy,dialysis


snomed,11009631000119100,Renal dialysis done,renal_replacement_therapy,dialysis


snomed,11000771000119104,Dependence on continuous cycling peritoneal dialysis (finding),renal_replacement_therapy,dialysis


snomed,11000731000119102,Dependence on continuous ambulatory peritoneal dialysis (finding),renal_replacement_therapy,dialysis


snomed,1110511000000102,Dialysis adequacy using dialyser clearance of urea multiplied by treatment time divided by volume of distribution of urea formula for haemodialysis (observable entity),renal_replacement_therapy,dialysis


snomed,1110501000000104,Dialysis adequacy using dialyser clearance of urea multiplied by treatment time divided by volume of distribution of urea formula by combined peritoneal dialysate and urine method (observable entity),renal_replacement_therapy,dialysis


snomed,1095231000000108,Transplant of kidney using robotic assistance (procedure),renal_replacement_therapy,transplant


snomed,1035471000000100,Dialysis therapy started by renal service (finding),renal_replacement_therapy,dialysis


snomed,991611000000107,Dialysis fluid sodium level,renal_replacement_therapy,dialysis


snomed,991521000000102,Dialysis fluid glucose level​,renal_replacement_therapy,dialysis


snomed,991511000000108,Dialysis fluid urea level,renal_replacement_therapy,dialysis


snomed,905871000000102,Ultrasonography guided insertion of nephrostomy tube into transplanted kidney,renal_replacement_therapy,transplant


snomed,864311000000105,Thrombosis of vein of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,864271000000105,Thrombosis of artery of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,854161000000102,Anaphylactoid reaction due to haemodialysis,renal_replacement_therapy,dialysis


snomed,853021000000108,Aneurysm of artery of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,852981000000100,Aneurysm of vein of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,847881000000107,Stenosis of vein of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,847811000000100,Rupture of vein of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,847791000000101,Rupture of artery of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,844661000000109,Vascular complication of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,843691000000100,Urological complication of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,426361000000104,[V]Unspecified aftercare involving intermittent dialysis​,renal_replacement_therapy,dialysis


snomed,426351000000102,[V]Aftercare involving peritoneal dialysis without blame​,renal_replacement_therapy,dialysis


